date,cash,transaction_cost,market_value,total_value
2013-01-04,177.4343,1599.7157,9998222.85,9998400.2843
2013-01-07,2297.8716,1627.8222,10173889.008,10176186.8796
2013-01-08,2297.8716,0.0,10088701.02,10090998.8916
2013-01-09,721.3411,1613.2102,10082563.862,10083285.2031
2013-01-10,721.3411,0.0,10174177.86,10174899.2011
2013-01-11,721.3411,0.0,10042494.749,10043216.0901
2013-01-14,721.3411,0.0,10440069.85,10440791.1911
2013-01-15,721.3411,0.0,10687883.381,10688604.7221
2013-01-16,721.3411,0.0,10631355.595,10632076.9361
2013-01-17,721.3411,0.0,10546563.916,10547285.2571
2013-01-18,721.3411,0.0,10808447.622,10809168.9631
2013-01-21,721.3411,0.0,10880020.2,10880741.5411
2013-01-22,721.3411,0.0,10640278.145,10640999.4861
2013-01-23,721.3411,0.0,10686167.506,10686888.8471
2013-01-24,721.3411,0.0,10403267.763,10403989.1041
2013-01-25,721.3411,0.0,10471614.496,10472335.8371
2013-01-28,721.3411,0.0,10772400.52,10773121.8611
2013-01-29,721.3411,0.0,10867267.817,10867989.1581
2013-01-30,721.3411,0.0,10757602.814,10758324.1551
2013-01-31,721.3411,0.0,10652220.635,10652941.9761
2013-02-01,721.3411,0.0,10739496.901,10740218.2421
2013-02-04,721.3411,0.0,10595898.754,10596620.0951
2013-02-05,317.894,1714.7999,10717499.55,10717817.444
2013-02-06,317.894,0.0,10738576.927,10738894.821
2013-02-07,317.894,0.0,10620573.385,10620891.279
2013-02-08,317.894,0.0,10624235.78,10624553.674
2013-02-18,454.5865,1675.7661,10473538.303,10473992.8895
2013-02-19,454.5865,0.0,10278331.151,10278785.7375
2013-02-20,454.5865,0.0,10668971.157,10669425.7435
2013-02-21,454.5865,0.0,10523957.622,10524412.2085
2013-02-22,454.5865,0.0,10517249.257,10517703.8435
2013-02-25,454.5865,0.0,10729547.066,10730001.6525
2013-02-26,454.5865,0.0,10673409.963,10673864.5495
2013-02-27,454.5865,0.0,10609122.51,10609577.0965
2013-02-28,454.5865,0.0,10797270.205,10797724.7915
2013-03-01,454.5865,0.0,11095648.249,11096102.8355
2013-03-04,454.5865,0.0,10827426.5,10827881.0865
2013-03-05,454.5865,0.0,11135873.361,11136327.9475
2013-03-06,454.5865,0.0,11321500.717,11321955.3035
2013-03-07,454.5865,0.0,11000928.643,11001383.2295
2013-03-08,454.5865,0.0,10842460.761,10842915.3475
2013-03-11,454.5865,0.0,10898271.85,10898726.4365
2013-03-12,454.5865,0.0,10530703.604,10531158.1905
2013-03-13,454.5865,0.0,10458140.411,10458594.9975
2013-03-14,454.5865,0.0,10558289.404,10558743.9905
